사업장명,전화번호,도로명주소
아크로벳 내과동물병원,220887119.0,"서울특별시 광진구 광나루로 582, 세종빌딩 1층 (구의동)"
비비동물병원,220397770.0,"서울특별시 광진구 능동로 21, 1층 (자양동)"
서울대학교동물검진센터,269305747.0,"서울특별시 광진구 구의강변로 46, 금성빌딩 1,2층 (구의동)"
Severance AMC,,"서울특별시 광진구 천호대로 512, 군자빌딩 b층 02호 (군자동)"
프라임동물병원,,서울특별시 광진구 아차산로 451 (구의동)
동서울동물병원,,서울특별시 광진구 아차산로 493 (광장동)
피카소동물병원,,서울특별시 광진구 광나루로 392-1 (화양동)
용마동물병원,,서울특별시 광진구 용마산로 66 (중곡동)
중곡동물병원,,서울특별시 광진구 긴고랑로 47 (중곡동)
방주종합동물병원,,서울특별시 광진구 능동로 334 (중곡동)
광진동물의료센터,,서울특별시 광진구 광나루로 507 (구의동)
건국대학교 부속 동물병원,,서울특별시 광진구 능동로 120 (화양동)
쥬라기동물병원,,서울특별시 광진구 광나루로 601 (광장동)
이다종합동물병원,,서울특별시 광진구 뚝섬로 504 (자양동)
나래동물병원,,서울특별시 광진구 능동로 283 (군자동)
보람동물병원,,서울특별시 광진구 군자로 84 (군자동)
애플동물병원,,서울특별시 광진구 천호대로 642-1 (능동)
로엘동물병원,,서울특별시 광진구 뚝섬로 622-1 (자양동)
해맑은동물병원,269547582.0,서울특별시 광진구 뚝섬로 670 (자양동)
노룬산동물병원,,서울특별시 광진구 뚝섬로 462 (자양동)
준동물병원,,서울특별시 광진구 뚝섬로 541 (자양동)
서울어린이대공원동물병원,,서울특별시 광진구 능동로 216 (능동)
나루동물병원,,서울특별시 광진구 아차산로 537-17 (광장동)
심재웅동물병원,222447755.0,서울특별시 동대문구 망우로 120 (휘경동)
박철환동물병원,222447479.0,서울특별시 동대문구 사가정로 221 (장안동)
아이원 동물병원,222178930.0,"서울특별시 동대문구 전농로 80, 1층 (답십리동)"
땅콩동물병원,233947075.0,서울특별시 동대문구 답십리로 224-1 (답십리동)
24시 동대문 루시드 동물메디컬센터,262170202.0,"서울특별시 동대문구 전농로 57-1, 1층,2층,지하1층 동대문 루시드 동물메디컬센터 (답십리동)"
서울동물복지지원센터 동대문 동물병원,29212413.0,서울특별시 동대문구 무학로 201 (용두동)
청량리 슬기 동물병원,232937582.0,"서울특별시 동대문구 왕산로 186, 청량리역 우남SL타워300 218, 219호 (전농동)"
이즈 동물병원,221380514.0,"서울특별시 동대문구 이문로35길 12, 상가 C동 102호 (이문동, 래미안라그란데아파트)"
아이랑 동물병원,,"서울특별시 동대문구 이문로35길 12, 상가 A동 101호 (이문동, 래미안라그란데아파트)"
뉴월드동물병원,222125233.0,"서울특별시 동대문구 한천로 94, 1층 (장안동)"
그랜드동물병원,222146129.0,서울특별시 동대문구 전농로 77(답십리동)
애니케어동물병원,29670877.0,서울특별시 동대문구 이문로 80 (이문동)
푸른종합동물병원,29637582.0,"서울특별시 동대문구 홍릉로 48-1, 1층 (청량리동)"
장평25시동물종합병원,222152022.0,서울특별시 동대문구 장한로 139 (장안동)
안암동물병원,29253686.0,"서울특별시 동대문구 안암로 40, 1층 (용두동)"
주주동물병원,222441081.0,서울특별시 동대문구 사가정로 121 (전농동)
디아크동물병원,29607501.0,서울특별시 동대문구 홍릉로 64-1 (청량리동)
맑은 동물병원,222341379.0,"서울특별시 동대문구 청계천로 417, 108호 (신설동, 청계천 대성 스카이렉스1)"
그린동물병원,29577075.0,"서울특별시 동대문구 정릉천동로 58, 1층 125호 (용두동, 롯데캐슬피렌체)"
엘동물병원,232953927.0,서울특별시 동대문구 고산자로 393-5 (용두동)
제연동물병원,222427975.0,서울특별시 동대문구 답십리로 77 (전농동)
VIP동물의료센터 동대문점,222157522.0,서울특별시 동대문구 한천로14길 87(장안동)
페트로동물의료원,222497600.0,서울특별시 동대문구 답십리로63길 1(장안동)
하나동물병원,262427500.0,서울특별시 동대문구 망우로 66 (휘경동)
봄봄동물병원,29697579.0,서울특별시 동대문구 회기로18길 46 (회기동)
아띠동물의료센터,262428275.0,서울특별시 동대문구 사가정로 51 (전농동)
스마트동물병원,222420175.0,"서울특별시 동대문구 한천로 164, 1층 (장안동)"
바론동물병원,29650075.0,"서울특별시 동대문구 이문로 136, 2층 208호 (이문동, 이문동 웰츠타워)"
더케이동물병원,222138875.0,"서울특별시 동대문구 답십리로 140, 세기프라자 2층 211호 (답십리동)"
현대종합동물병원,222127596.0,"서울특별시 동대문구 답십리로 293, 1층 (장안동)"
하이유 동물병원,222427510.0,서울특별시 동대문구 전농로 15-3 (답십리동)
아인스동물병원,222130075.0,"서울특별시 동대문구 장한로 44, 1층 (장안동)"
태능동물병원,29731953.0,"서울특별시 중랑구 동일로 920, 3층 (묵동)"
보람동물병원,,서울특별시 중랑구 면목로 269 (면목동)
엔젤동물병원,,서울특별시 중랑구 겸재로 187 (면목동)
홍상희동물병원,,"서울특별시 중랑구 동일로 899, 1층 (묵동)"
하스펫탈동물병원,,"서울특별시 중랑구 면목로 442-1, 1층 (면목동)"
신내동물병원,34220001.0,"서울특별시 중랑구 봉화산로 103, 1층 (중화동, 삼일시티빌)"
진정훈동물병원,22070073.0,"서울특별시 중랑구 봉화산로 39-1, 유정빌딩 2층 (중화동)"
성지동물병원,,서울특별시 중랑구 면목로 311 (면목동)
금란동물병원,,"서울특별시 중랑구 용마산로 532, 금란동물병원 (망우동)"
서울우유협동조합유우진료소,220948344.0,서울특별시 중랑구 중랑천로 71 (상봉동)
주연동물병원,22079931.0,서울특별시 중랑구 면목로 273 (면목동)
진서동물병원,,서울특별시 중랑구 신내로10길 7 (신내동)
세진동물병원,,서울특별시 중랑구 망우로 415(망우동)
숲속동물병원,,"서울특별시 중랑구 겸재로 207, 1층 (면목동)"
면목동물병원,,서울특별시 중랑구 사가정로 363 (면목동)
하니동물병원,234220977.0,"서울특별시 중랑구 신내로 225, 디아뜨갤러리 142호 (신내동)"
한국동물메디컬센터(KAMC),22086788.0,"서울특별시 중랑구 겸재로 165, 1,2층 (면목동)"
닥터 아이펫 동물병원,22080329.0,"서울특별시 중랑구 망우로 315, 2층 (상봉동)"
행복이 있는 동물병원,24333387.0,"서울특별시 중랑구 봉화산로 232, B동 1층 (신내동)"
보담동물병원,24947775.0,"서울특별시 중랑구 용마산로 434 (면목동, 청파빌딩)"
로얄동물암치료센터,262153416.0,"서울특별시 중랑구 동일로 640, 지하 2층 (면목동)"
아이봄 동물병원,24337515.0,서울특별시 중랑구 신내로 66 (신내동)
레미 동물병원,24704707.0,"서울특별시 중랑구 동일로 593, 2층 (면목동)"
치료해 주오,29497577.0,"서울특별시 중랑구 동일로 925, 3층 (묵동)"
닥터멍동물병원,24397582.0,"서울특별시 중랑구 상봉로 17, 1층 (면목동)"
로얄동물메디컬센터 본원,7086600904.0,"서울특별시 중랑구 동일로 640, 2층, 3층 (면목동)"
로얄동물외과수술센터,7086600936.0,"서울특별시 중랑구 동일로 640, 지하1, 지상4층 (면목동)"
혜원동물병원,24398300.0,"서울특별시 중랑구 면목로 341, 1층 (면목동)"
중랑차동물병원,24330787.0,"서울특별시 중랑구 중랑천로 81, 101호 (상봉동)"
산들동물병원,24357582.0,"서울특별시 중랑구 용마산로 670, C동 129,130호 (망우동, 신내역 프라디움 더 테라스)"
모루 동물의료센터,220387533.0,"서울특별시 중랑구 망우로 373, 1층 (상봉동)"
카카오 N 동물병원,,"서울특별시 성북구 길음로 33 (길음동, 길음뉴타운 제상가비동 제지2층 25호)"
넬 동물의료센터,269254347.0,서울특별시 성북구 오패산로 75-1 (하월곡동)
앙리동물병원,,"서울특별시 성북구 성북로 66, 1층 (성북동)"
스마트동물병원 성북길음점,,"서울특별시 성북구 길음로13길 22, 103호, 104호 (길음동, 길음7구역두산위브아파트)"
포유동물병원,,서울특별시 성북구 오패산로 22 (하월곡동)
로이동물병원,,서울특별시 성북구 아리랑로 27 (동소문동6가)
성신동물병원,,"서울특별시 성북구 아리랑로 18, 1층 101호 (동선동5가)"
더편한동물병원,,"서울특별시 성북구 숭인로 50, 상가동 2203호 (길음동, 래미안길음센터피스)"
퍼스트동물병원,,"서울특별시 성북구 한천로 713, 515동 상가 206,207호 (장위동, 래미안장위퍼스트하이)"
원러브동물의료센터,69560040.0,"서울특별시 성북구 아리랑로 75, 상가3동 1층 110호 (돈암동, 돈암코오롱하늘채)"
포포동물병원,,"서울특별시 성북구 보문로 51, (주)참존글로벌워크 1층 (보문동7가)"
아이튼튼동물병원,,"서울특별시 성북구 길음로 11, 2층 241호 (길음동, 길음역롯데캐슬트윈골드아파트)"
큐동물병원,,서울특별시 성북구 장위로 81 (장위동)
한사랑동물병원,,서울특별시 성북구 성북로 27 (성북동1가)
나래종합동물병원,,서울특별시 성북구 동소문로 66 (동소문동3가)
